id,title,label
1,Researchers publish climate report,0
2,Ancient aliens built pyramids,1
3,Scientists discover new species,0
4,Flat earth proof leaked,1
5,Central bank updates interest rates,0
6,Ancient aliens built pyramids,1
7,New education reform launched,0
8,Miracle cure doctors hide,1
9,New education reform launched,0
10,Flat earth proof leaked,1
11,Central bank updates interest rates,0
12,Miracle cure doctors hide,1
13,Health ministry issues advisory,0
14,Secret society exposed,1
15,Government announces new policy,0
16,Ancient aliens built pyramids,1
17,Government announces new policy,0
18,Aliens secretly control governments,1
19,Tech company releases new AI model,0
20,Mind control chips in vaccines,1
21,Government announces new policy,0
22,Flat earth proof leaked,1
23,Health ministry issues advisory,0
24,Time traveler reveals future,1
25,Central bank updates interest rates,0
26,Time traveler reveals future,1
27,New education reform launched,0
28,Miracle cure doctors hide,1
29,Scientists discover new species,0
30,Time traveler reveals future,1
31,Central bank updates interest rates,0
32,Miracle cure doctors hide,1
33,Health ministry issues advisory,0
34,Secret society exposed,1
35,New education reform launched,0
36,Flat earth proof leaked,1
37,Scientists discover new species,0
38,Mind control chips in vaccines,1
39,New education reform launched,0
40,Ancient aliens built pyramids,1
41,Government announces new policy,0
42,Flat earth proof leaked,1
43,New education reform launched,0
44,Ancient aliens built pyramids,1
45,Government announces new policy,0
46,Aliens secretly control governments,1
47,Health ministry issues advisory,0
48,Mind control chips in vaccines,1
49,Government announces new policy,0
50,Secret society exposed,1
51,Government announces new policy,0
52,Flat earth proof leaked,1
53,Health ministry issues advisory,0
54,Time traveler reveals future,1
55,Scientists discover new species,0
56,Secret society exposed,1
57,Health ministry issues advisory,0
58,Miracle cure doctors hide,1
59,Tech company releases new AI model,0
60,Mind control chips in vaccines,1
61,Government announces new policy,0
62,Flat earth proof leaked,1
63,Researchers publish climate report,0
64,Miracle cure doctors hide,1
65,Tech company releases new AI model,0
66,Aliens secretly control governments,1
67,Central bank updates interest rates,0
68,Miracle cure doctors hide,1
69,Government announces new policy,0
70,Secret society exposed,1
71,Government announces new policy,0
72,Time traveler reveals future,1
73,Central bank updates interest rates,0
74,Ancient aliens built pyramids,1
75,Tech company releases new AI model,0
76,Secret society exposed,1
77,Government announces new policy,0
78,Aliens secretly control governments,1
79,New education reform launched,0
80,Mind control chips in vaccines,1
81,Scientists discover new species,0
82,Flat earth proof leaked,1
83,Researchers publish climate report,0
84,Aliens secretly control governments,1
85,Central bank updates interest rates,0
86,Aliens secretly control governments,1
87,Central bank updates interest rates,0
88,Miracle cure doctors hide,1
89,Scientists discover new species,0
90,Flat earth proof leaked,1
91,Scientists discover new species,0
92,Mind control chips in vaccines,1
93,Health ministry issues advisory,0
94,Mind control chips in vaccines,1
95,New education reform launched,0
96,Time traveler reveals future,1
97,Scientists discover new species,0
98,Miracle cure doctors hide,1
99,Central bank updates interest rates,0
100,Miracle cure doctors hide,1
101,Scientists discover new species,0
102,Time traveler reveals future,1
103,New education reform launched,0
104,Miracle cure doctors hide,1
105,Tech company releases new AI model,0
106,Ancient aliens built pyramids,1
107,Researchers publish climate report,0
108,Time traveler reveals future,1
109,Scientists discover new species,0
110,Time traveler reveals future,1
111,Central bank updates interest rates,0
112,Flat earth proof leaked,1
113,Researchers publish climate report,0
114,Miracle cure doctors hide,1
115,Tech company releases new AI model,0
116,Aliens secretly control governments,1
117,Scientists discover new species,0
118,Mind control chips in vaccines,1
119,New education reform launched,0
120,Flat earth proof leaked,1
121,Researchers publish climate report,0
122,Time traveler reveals future,1
123,Scientists discover new species,0
124,Ancient aliens built pyramids,1
125,New education reform launched,0
126,Flat earth proof leaked,1
127,Scientists discover new species,0
128,Mind control chips in vaccines,1
129,Scientists discover new species,0
130,Aliens secretly control governments,1
131,Central bank updates interest rates,0
132,Aliens secretly control governments,1
133,Scientists discover new species,0
134,Mind control chips in vaccines,1
135,Tech company releases new AI model,0
136,Time traveler reveals future,1
137,Scientists discover new species,0
138,Mind control chips in vaccines,1
139,Central bank updates interest rates,0
140,Flat earth proof leaked,1
141,Scientists discover new species,0
142,Secret society exposed,1
143,Government announces new policy,0
144,Secret society exposed,1
145,New education reform launched,0
146,Mind control chips in vaccines,1
147,Scientists discover new species,0
148,Miracle cure doctors hide,1
149,Health ministry issues advisory,0
150,Ancient aliens built pyramids,1
151,New education reform launched,0
152,Secret society exposed,1
153,New education reform launched,0
154,Time traveler reveals future,1
155,Central bank updates interest rates,0
156,Ancient aliens built pyramids,1
157,Tech company releases new AI model,0
158,Time traveler reveals future,1
159,Health ministry issues advisory,0
160,Time traveler reveals future,1
161,Researchers publish climate report,0
162,Secret society exposed,1
163,Scientists discover new species,0
164,Miracle cure doctors hide,1
165,New education reform launched,0
166,Time traveler reveals future,1
167,Health ministry issues advisory,0
168,Time traveler reveals future,1
169,Tech company releases new AI model,0
170,Flat earth proof leaked,1
171,Government announces new policy,0
172,Miracle cure doctors hide,1
173,Researchers publish climate report,0
174,Flat earth proof leaked,1
175,New education reform launched,0
176,Mind control chips in vaccines,1
177,New education reform launched,0
178,Flat earth proof leaked,1
179,Researchers publish climate report,0
180,Miracle cure doctors hide,1
181,Scientists discover new species,0
182,Flat earth proof leaked,1
183,Health ministry issues advisory,0
184,Miracle cure doctors hide,1
185,Tech company releases new AI model,0
186,Miracle cure doctors hide,1
187,Government announces new policy,0
188,Flat earth proof leaked,1
189,New education reform launched,0
190,Miracle cure doctors hide,1
191,Central bank updates interest rates,0
192,Miracle cure doctors hide,1
193,New education reform launched,0
194,Aliens secretly control governments,1
195,Health ministry issues advisory,0
196,Aliens secretly control governments,1
197,Government announces new policy,0
198,Flat earth proof leaked,1
199,Scientists discover new species,0
200,Miracle cure doctors hide,1
201,Central bank updates interest rates,0
202,Time traveler reveals future,1
203,Scientists discover new species,0
204,Time traveler reveals future,1
205,Tech company releases new AI model,0
206,Time traveler reveals future,1
207,Health ministry issues advisory,0
208,Time traveler reveals future,1
209,Central bank updates interest rates,0
210,Miracle cure doctors hide,1
211,Researchers publish climate report,0
212,Secret society exposed,1
213,New education reform launched,0
214,Mind control chips in vaccines,1
215,Scientists discover new species,0
216,Mind control chips in vaccines,1
217,Health ministry issues advisory,0
218,Miracle cure doctors hide,1
219,Researchers publish climate report,0
220,Aliens secretly control governments,1
221,Government announces new policy,0
222,Aliens secretly control governments,1
223,Researchers publish climate report,0
224,Aliens secretly control governments,1
225,Researchers publish climate report,0
226,Miracle cure doctors hide,1
227,Central bank updates interest rates,0
228,Mind control chips in vaccines,1
229,Government announces new policy,0
230,Aliens secretly control governments,1
231,Researchers publish climate report,0
232,Aliens secretly control governments,1
233,Scientists discover new species,0
234,Aliens secretly control governments,1
235,New education reform launched,0
236,Ancient aliens built pyramids,1
237,Government announces new policy,0
238,Ancient aliens built pyramids,1
239,Tech company releases new AI model,0
240,Time traveler reveals future,1
241,Central bank updates interest rates,0
242,Mind control chips in vaccines,1
243,Scientists discover new species,0
244,Flat earth proof leaked,1
245,Researchers publish climate report,0
246,Aliens secretly control governments,1
247,Health ministry issues advisory,0
248,Time traveler reveals future,1
249,Scientists discover new species,0
250,Flat earth proof leaked,1
251,Health ministry issues advisory,0
252,Aliens secretly control governments,1
253,Government announces new policy,0
254,Secret society exposed,1
255,Government announces new policy,0
256,Time traveler reveals future,1
257,Government announces new policy,0
258,Miracle cure doctors hide,1
259,Central bank updates interest rates,0
260,Ancient aliens built pyramids,1
261,Tech company releases new AI model,0
262,Ancient aliens built pyramids,1
263,Scientists discover new species,0
264,Flat earth proof leaked,1
265,Government announces new policy,0
266,Flat earth proof leaked,1
267,Government announces new policy,0
268,Flat earth proof leaked,1
269,New education reform launched,0
270,Secret society exposed,1
271,New education reform launched,0
272,Aliens secretly control governments,1
273,Government announces new policy,0
274,Aliens secretly control governments,1
275,New education reform launched,0
276,Aliens secretly control governments,1
277,Government announces new policy,0
278,Secret society exposed,1
279,Central bank updates interest rates,0
280,Miracle cure doctors hide,1
281,Researchers publish climate report,0
282,Mind control chips in vaccines,1
283,Central bank updates interest rates,0
284,Flat earth proof leaked,1
285,Health ministry issues advisory,0
286,Aliens secretly control governments,1
287,Researchers publish climate report,0
288,Miracle cure doctors hide,1
289,New education reform launched,0
290,Time traveler reveals future,1
291,Health ministry issues advisory,0
292,Miracle cure doctors hide,1
293,Scientists discover new species,0
294,Miracle cure doctors hide,1
295,Central bank updates interest rates,0
296,Secret society exposed,1
297,Central bank updates interest rates,0
298,Ancient aliens built pyramids,1
299,New education reform launched,0
300,Aliens secretly control governments,1
301,Central bank updates interest rates,0
302,Flat earth proof leaked,1
303,Tech company releases new AI model,0
304,Aliens secretly control governments,1
305,Health ministry issues advisory,0
306,Time traveler reveals future,1
307,Government announces new policy,0
308,Time traveler reveals future,1
309,Health ministry issues advisory,0
310,Mind control chips in vaccines,1
311,Scientists discover new species,0
312,Flat earth proof leaked,1
313,Scientists discover new species,0
314,Aliens secretly control governments,1
315,Health ministry issues advisory,0
316,Time traveler reveals future,1
317,Scientists discover new species,0
318,Flat earth proof leaked,1
319,Central bank updates interest rates,0
320,Secret society exposed,1
321,New education reform launched,0
322,Ancient aliens built pyramids,1
323,Central bank updates interest rates,0
324,Mind control chips in vaccines,1
325,Government announces new policy,0
326,Aliens secretly control governments,1
327,Tech company releases new AI model,0
328,Time traveler reveals future,1
329,Health ministry issues advisory,0
330,Time traveler reveals future,1
331,Researchers publish climate report,0
332,Time traveler reveals future,1
333,Scientists discover new species,0
334,Secret society exposed,1
335,Researchers publish climate report,0
336,Time traveler reveals future,1
337,Central bank updates interest rates,0
338,Mind control chips in vaccines,1
339,Government announces new policy,0
340,Mind control chips in vaccines,1
341,New education reform launched,0
342,Flat earth proof leaked,1
343,Central bank updates interest rates,0
344,Ancient aliens built pyramids,1
345,Government announces new policy,0
346,Mind control chips in vaccines,1
347,Researchers publish climate report,0
348,Mind control chips in vaccines,1
349,Central bank updates interest rates,0
350,Secret society exposed,1
351,Government announces new policy,0
352,Secret society exposed,1
353,Central bank updates interest rates,0
354,Mind control chips in vaccines,1
355,Government announces new policy,0
356,Time traveler reveals future,1
357,Tech company releases new AI model,0
358,Ancient aliens built pyramids,1
359,New education reform launched,0
360,Mind control chips in vaccines,1
361,Health ministry issues advisory,0
362,Miracle cure doctors hide,1
363,Central bank updates interest rates,0
364,Mind control chips in vaccines,1
365,Scientists discover new species,0
366,Mind control chips in vaccines,1
367,Researchers publish climate report,0
368,Flat earth proof leaked,1
369,Researchers publish climate report,0
370,Ancient aliens built pyramids,1
371,Central bank updates interest rates,0
372,Mind control chips in vaccines,1
373,Tech company releases new AI model,0
374,Flat earth proof leaked,1
375,Health ministry issues advisory,0
376,Flat earth proof leaked,1
377,Tech company releases new AI model,0
378,Time traveler reveals future,1
379,Health ministry issues advisory,0
380,Aliens secretly control governments,1
381,Researchers publish climate report,0
382,Aliens secretly control governments,1
383,Scientists discover new species,0
384,Time traveler reveals future,1
385,Health ministry issues advisory,0
386,Mind control chips in vaccines,1
387,Government announces new policy,0
388,Mind control chips in vaccines,1
389,New education reform launched,0
390,Ancient aliens built pyramids,1
391,Central bank updates interest rates,0
392,Miracle cure doctors hide,1
393,Health ministry issues advisory,0
394,Mind control chips in vaccines,1
395,Scientists discover new species,0
396,Secret society exposed,1
397,Central bank updates interest rates,0
398,Ancient aliens built pyramids,1
399,Health ministry issues advisory,0
400,Secret society exposed,1
401,Health ministry issues advisory,0
402,Mind control chips in vaccines,1
403,Scientists discover new species,0
404,Miracle cure doctors hide,1
405,Researchers publish climate report,0
406,Secret society exposed,1
407,Tech company releases new AI model,0
408,Miracle cure doctors hide,1
409,Government announces new policy,0
410,Miracle cure doctors hide,1
411,Health ministry issues advisory,0
412,Time traveler reveals future,1
413,Health ministry issues advisory,0
414,Miracle cure doctors hide,1
415,Tech company releases new AI model,0
416,Ancient aliens built pyramids,1
417,New education reform launched,0
418,Flat earth proof leaked,1
419,Central bank updates interest rates,0
420,Flat earth proof leaked,1
421,Tech company releases new AI model,0
422,Time traveler reveals future,1
423,Researchers publish climate report,0
424,Miracle cure doctors hide,1
425,Health ministry issues advisory,0
426,Mind control chips in vaccines,1
427,Government announces new policy,0
428,Secret society exposed,1
429,Tech company releases new AI model,0
430,Secret society exposed,1
431,Scientists discover new species,0
432,Time traveler reveals future,1
433,Government announces new policy,0
434,Time traveler reveals future,1
435,Tech company releases new AI model,0
436,Flat earth proof leaked,1
437,Researchers publish climate report,0
438,Secret society exposed,1
439,Scientists discover new species,0
440,Mind control chips in vaccines,1
441,Researchers publish climate report,0
442,Mind control chips in vaccines,1
443,New education reform launched,0
444,Ancient aliens built pyramids,1
445,Government announces new policy,0
446,Aliens secretly control governments,1
447,Researchers publish climate report,0
448,Miracle cure doctors hide,1
449,Researchers publish climate report,0
450,Flat earth proof leaked,1
451,New education reform launched,0
452,Secret society exposed,1
453,Researchers publish climate report,0
454,Aliens secretly control governments,1
455,Researchers publish climate report,0
456,Secret society exposed,1
457,Health ministry issues advisory,0
458,Miracle cure doctors hide,1
459,Scientists discover new species,0
460,Flat earth proof leaked,1
461,Health ministry issues advisory,0
462,Mind control chips in vaccines,1
463,Health ministry issues advisory,0
464,Time traveler reveals future,1
465,New education reform launched,0
466,Secret society exposed,1
467,Government announces new policy,0
468,Ancient aliens built pyramids,1
469,New education reform launched,0
470,Aliens secretly control governments,1
471,New education reform launched,0
472,Secret society exposed,1
473,Health ministry issues advisory,0
474,Miracle cure doctors hide,1
475,Central bank updates interest rates,0
476,Time traveler reveals future,1
477,Government announces new policy,0
478,Mind control chips in vaccines,1
479,Central bank updates interest rates,0
480,Aliens secretly control governments,1
481,Health ministry issues advisory,0
482,Flat earth proof leaked,1
483,Scientists discover new species,0
484,Time traveler reveals future,1
485,Health ministry issues advisory,0
486,Miracle cure doctors hide,1
487,Researchers publish climate report,0
488,Flat earth proof leaked,1
489,Tech company releases new AI model,0
490,Flat earth proof leaked,1
491,Health ministry issues advisory,0
492,Mind control chips in vaccines,1
493,Government announces new policy,0
494,Time traveler reveals future,1
495,Researchers publish climate report,0
496,Aliens secretly control governments,1
497,Scientists discover new species,0
498,Flat earth proof leaked,1
499,Central bank updates interest rates,0
500,Flat earth proof leaked,1
